Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Szent-Gyorgyi (Dzhordzhi) Albert	16	9	1893	22	10	1986	Biochemist, chemist	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	10.08.1855	02.05.1921	_______-_______, __________ _ _______
Mikhail Subbotin	28	6	1893	26	12	1966	Astronomer, a specialist in the field of celestial mechanics	http://www.isaran.ru/?q=ru/persostav	_______ (______) ______	23.05.1924	29.04.1997	__________ _ _______ ________ _ __________ _______ ________ __________ _________ _ _____, ___________ _ ________
Mikhail Tikhomirov	1	6	1893	2	9	1965	Historian	http://www.isaran.ru/?q=ru/persostav	_______ ______ _______	08.08.1901	27.08.1958	_____
Sergei Ushakov	16	9	1893	16	9	1964	Chemist	http://www.isaran.ru/?q=ru/persostav	____ ____ ______ ______ ___	09.10.1879	24.04.1960	_____
Cherniayev Ilya Ilyich	20	1	1893	30	9	1966	Chemist	http://www.isaran.ru/?q=ru/persostav	______ ____ ______ _______	04.03.1793	13.03.1851	_______-_______
Dmitri Ivanovich Shcherbakov	13	1	1893	25	5	1966	Geology, mineralogy, petrography, geochemist	http://www.isaran.ru/?q=ru/persostav	__ _______ ____-___ (Le Châtelier, Henri-Louis)	08.10.1850	17.09.1936	___________
Eyhfeld Johann Gansovich	25	1	1893	20	4	1989	Botanist, expert in the field of agriculture and crop	http://www.isaran.ru/?q=ru/persostav	_____ ____-____	28.06.1875	26.07.1941	_________
Barkhudarov Stepan G.	7	3	1894	3	10	1983	Specialist in Russian language	http://www.isaran.ru/?q=ru/persostav	_______ _________ __________	26.11.1893	15.03.1969	_____, __________ _ _______ ______
Blagonravov Blagonravov	1	6	1894	4	2	1975	Specialist in the field of mechanics, engineering and gunnery	http://www.isaran.ru/?q=ru/persostav	_______ _______ _________	28.12.1883	05.07.1941	__________ _ _______ ______________ _ ______________
Cabbage Vyacheslav	10	4	1894	18	10	1972	Specialist in the field of energy	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	14.06.1933	29.12.2011	_____. __________ _ _______ ___________ __________ ______ _ ______ ____________ ______.
Sergey Vladimirovich Ilyushin	30	3	1894	9	2	1977	Specialist in the field of aircraft	http://www.isaran.ru/?q=ru/persostav	_______ ________ __________	14.04.1942		______-_________. __________ _ _______ ____________ _ ______________.
Ivan S. Isakov	22	8	1894	11	10	1967	Specialist in naval affairs, history and geography	http://www.isaran.ru/?q=ru/persostav	_______ ________ ____________	22.06.1953		_____-________, __________ _ _______ ______ __________ ____ _ ______________, ______ _______ _________ _ ______ __________
Petr Leonidovich Kapitsa	8	7	1894	8	4	1984	Physicist	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	23.10.1958		_____, __________ _ _______ ________________ _ __________ ______________ __________
Kocheshkov Xenophon A.	12	12	1894	15	1	1978	Organic Chemist	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	23.08.1885	03.05.1948	________, _________
Lukirsky Petro	13	12	1894	16	11	1954	Physicist	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	02.11.1902	03.07.1974	__________ _ _______ ______________ _ ______________ _______
Vasily Nemchinov	14	1	1894	5	11	1964	Economist, statistician	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	25.07.1874	02.05.1934	_____-_______
Obreimov Ivan	8	3	1894	2	12	1981	Experimental physicist	http://www.isaran.ru/?q=ru/persostav	_______-_________ _____ ________	02.01.1882	04.04.1948	_____________
Alexander Oparin	2	3	1894	21	4	1980	Biologist, biochemist	http://www.isaran.ru/?q=ru/persostav	___________ ________ __________	13.09.1888	12.12.1956	_____-_________
Pigulevskaya Nina V.	13	1	1894	17	2	1970	Byzantinist historian, orientalist	http://www.isaran.ru/?q=ru/persostav	"___ _III, ____ _______ (___. Leo PP. XIII; __ ____________ — ________ ________ _______ ______ _____, ____. Vincenzo Gioacchino Raffaele Luigi Bocci)"	02.03.1810	20.07.1903	________
Paek Nam-un	17	3	1894	1	8	1986	Historian, economist	http://www.isaran.ru/?q=ru/persostav	_______ (_______) _______	01.07.1753	22.11.1824	______________, __________ _ _________
Ravdonikas Vladislav I.	9	12	1894	28	11	1976	Historian and archaeologist	http://www.isaran.ru/?q=ru/persostav	_______ _____-___-_____	11.03.1811	23.09.1877	________
Strogovich Michael Solomonovich	29	9	1894	13	2	1984	Lawyer	http://www.isaran.ru/?q=ru/persostav	____ _____	15.04.1838	30.09.1910	________
Sirkin Jacob Kivovich	5	12	1894	8	1	1974	Fizikohimik	http://www.isaran.ru/?q=ru/persostav	____ _______	28.03.1863	28.03.1935	__________-_______
Tomsinsky Simon G.	16	3	1894	15	3	1938	Historian archaeographer	http://www.isaran.ru/?q=ru/persostav	____-______ ______	29.03.1873	29.12.1941	_________, _______
Tumanov Ivan	1	7	1894	13	1	1985	Botanist, a specialist in plant physiology	http://www.isaran.ru/?q=ru/persostav	_____ _____ _________	26.08.1937		__________ _ _______ _________ _ ________ ______
Frenkel Frenkel	10	2	1894	23	1	1952	Physicist	http://www.isaran.ru/?q=ru/persostav	_____ ________ __________	28.09.1939		__________ _ _______ ________ ________ _ ____
Helkvist Herman Avgustovich	5	10	1894	21	10	1968	Expert in the field of petroleum geology	http://www.isaran.ru/?q=ru/persostav	_____ ________ ______________	05.03.1929		__________ _ _______ ______________ _______ _ __________ ____ ______________ _____
Aleksandr Yakovlevich Khinchin	19	7	1894	18	11	1959	Mathematician	http://www.isaran.ru/?q=ru/persostav	______ _______ ________	13.11.1899	18.12.1964	_________-________
Fucking Konstantin	25	2	1894	12	10	1984	Expert in the field of electric	http://www.isaran.ru/?q=ru/persostav	________-_______ _____ _______	09.03.1861	25.10.1939	______, _________, _________
Nicholas G. Chebotarev	15	6	1894	2	7	1947	Mathematician	http://www.isaran.ru/?q=ru/persostav	_________ ________ _________	19.11.1878	20.05.1942	______, _______, __________ _ _______ __________ ________
Shahs Felix N.	24	10	1894	30	10	1971	Geologist, an expert in the field of ore deposits	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	19.03.1909	24.01.1961	______
Vladimir Engelhardt	3	12	1894	10	7	1984	Biochemist	http://www.isaran.ru/?q=ru/persostav	_____ ________ ___________	30.03.1917		___________
Brodsky Alexander I.	18	6	1895	21	8	1969	Fizikohimik	http://www.isaran.ru/?q=ru/persostav	_______ _____ ________	02.12.1909	13.04.1978	_____-_______
Vinogradov Aleksandr Pavlovich	21	8	1895	16	11	1975	Geochemist biogeochemist	http://www.isaran.ru/?q=ru/persostav	______ _______ __________	26.08.1799	16.09.1879	_______________ _______
Viktor Vinogradov	12	1	1895	4	10	1969	Linguist, literary Slavic	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	01.09.1936	27.04.1988	__________ _ _______ __________, ______________ _____, _______________ _______ _ _____ ______
Golunsky Sergey	3	7	1895	29	11	1962	Lawyer	http://www.isaran.ru/?q=ru/persostav	_________ ______ ________	06.06.1931		__________ _ _______ __________ _________ _ _________ ___________ _________, ________ _ ___________ _______
Mark Herman Francis	3	5	1895	1	8	1992	Chemist	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________ _______ ___	08.07.1785	04.07.1851	__________________, _______, _________, ______
Mikulin Alexander	14	2	1895	13	5	1985	Specialist in the design of aircraft engines	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	03.05.1959		__________ _ _______ __________ _________ _ ____________ _______ ______________ _ ___________ ____________
Alexander L. Mintz	8	1	1895	29	12	1974	Specialist in the field of radio, radio and accelerator technology	http://www.isaran.ru/?q=ru/persostav	________ ____ _a__ (Lederman Leon Max)	15.07.1922		_____, __________ _ _______ ______ _______
Nasonov Dmitri	11	7	1895	21	12	1957	Biologist, pathologist, cytophysiology	http://www.isaran.ru/?q=ru/persostav	____ ______ _________	04.04.1829	16.04.1904	_______, ________ ________ _________
Petrov Alexander Dmitrievich	28	8	1895	31	1	1964	Organic Chemist	http://www.isaran.ru/?q=ru/persostav	____ ___	15.01.1843	30.04.1923	_______-_______
Potemkin Fedor	23	2	1895	20	7	1973	Historian	http://www.isaran.ru/?q=ru/persostav	______ ______ ______	26.02.1883	27.03.1959	__________ _ _______ __________, ______________ _ _________
Razuvaev Grigory	23	8	1895	12	2	1989	One skilled in organic and organometallic chemistry	http://www.isaran.ru/?q=ru/persostav	_________ ______ __________	26.06.1879	15.03.1951	__________ _ _______ ________, _________ ____, _________
Maxim Rylsky Gottlieb	19	3	1895	24	7	1964	Poet, literary critic, folklorist, ethnographer	http://www.isaran.ru/?q=ru/persostav	______ _____ ___	21.05.1821	11.04.1908	______
Sergey Smirnov	16	9	1895	20	8	1947	Geologist, an expert in the field of mineralogy of ore deposits	http://www.isaran.ru/?q=ru/persostav	_______ ____ _____ _______ _______	07.10.1822	06.02.1898	______
Igor Tamm	8	7	1895	12	4	1971	Physicist	http://www.isaran.ru/?q=ru/persostav	_______ ______ _____ (Leutmann Johann Georg)	30.11.1667	05.03.1736	_______, _____, _____
Pavel Tatarinov	6	11	1895	15	8	1976	Geologist, petrographer	http://www.isaran.ru/?q=ru/persostav	_______________ ___________-_______-_____-______-________, _____	02.10.1817	20.10.1852	_____________ _ _______ ________________ _ _________________ ___________
Frumkin Alexander N.	24	10	1895	27	5	1976	Physical chemist, electrochemist	http://www.isaran.ru/?q=ru/persostav	_______________ _______ _______________, ______	23.07.1843	25.12.1890	_______ _______, _________
Khalil Mardam Bay	30	7	1895	23	7	1959	Literary-Arabist	http://www.isaran.ru/?q=ru/persostav	____ ____-______	06.09.1700	20.08.1768	______
Siskins David M.	17	11	1895	24	8	1974	A specialist in metallurgy	http://www.isaran.ru/?q=ru/persostav	______ ___	08.08.1920		__________ _ _______ ___________, __________ _ ____________ _________ ____________ ___________
Nikolai Shatsky	28	8	1895	1	8	1960	Geologist tectonist	http://www.isaran.ru/?q=ru/persostav	_______ (_____) _______ _______ (______-________), ____	06.10.1726	30.12.1798	_____, _______
Shuleikin Vasily Vladimirovich	13	1	1895	25	4	1979	Physics, geophysics	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________ (_______ ______)	24.12.1740	30.11.1784	________
Pavel Alexandrov	7	5	1896	16	11	1982	Mathematician	http://www.isaran.ru/?q=ru/persostav	__________ _________ _____________	23.08.1932		__________ _ _______ ______ ________ _ _________ _____
Alekseyev Mikhail Pavlovich	5	6	1896	19	9	1981	Specialist in literature	http://www.isaran.ru/?q=ru/persostav	_____ ____ ________ (______ ________)	01.07.1760	15.01.1804	_________
Burkes Paul N.	14	12	1896	9	8	1969	Specialist in literature	http://www.isaran.ru/?q=ru/persostav	_____ ______ _____ ________	25.02.1792	12.02.1860	_______-__________
Bruyevich Nicholas G.	12	11	1896	5	5	1987	Expert in the theory of machines and mechanisms for precision mechanics	http://www.isaran.ru/?q=ru/persostav	_____ ______ ______	04.08.1719	11.01.1767	_____, ______
Vekshinsky Sergei A.	27	10	1896	20	9	1974	Physicist, a specialist in electric-machinery and Technical Physics	http://www.isaran.ru/?q=ru/persostav	____ _____ (________)__________ ___	17.09.1856	03.06.1918	__________-_________
Vologdin Alexander G.	11	3	1896	28	9	1971	Geologist, paleontologist	http://www.isaran.ru/?q=ru/persostav	_________ ______ (Langlands Robert)	06.10.1936		_________
Volfkovich Semen Isaakovich	23	10	1896	12	11	1980	Inorganic chemist, expert in the field of chemical engineering	http://www.isaran.ru/?q=ru/persostav	_______ _______ (Gotfryd Lengnich)	04.12.1689	28.04.1774	_______
Dynnik Mikhail	1	3	1896	16	3	1971	Philosopher	http://www.isaran.ru/?q=ru/persostav	____ ____ (Lenk Hans )	23.03.1935		_______, __________ _ _______ _________ _____ _ _______, __________ _____
Egolin Alexander	3	9	1896	6	5	1959	Specialist in literature	http://www.isaran.ru/?q=ru/persostav	______ _____ ______	08.07.1850	20.02.1941	__________-____________
Alexey Efimov	30	1	1896	11	11	1971	Historian	http://www.isaran.ru/?q=ru/persostav	____ ______ ____________	23.01.1808	30.07.1836	__________-____________
Krasil'nikov Nikolai	18	12	1896	11	7	1973	Microbiologist	http://www.isaran.ru/?q=ru/persostav	____ ______ _________	16.11.1833	02.04.1903	_____
Kazimierz Kuratowski	2	2	1896	18	6	1980	Mathematician	http://www.isaran.ru/?q=ru/persostav	____ ______ ____________ (______ _______ _____)	12.02.1804	10.02.1865	_____
Lappo-Danilevsky Ivan	28	10	1896	15	3	1931	Mathematician	http://www.isaran.ru/?q=ru/persostav	________ ____ ______, ___ (LEONHARD, Carl Ca ¨sar, von)	12.09.1779	23.01.1862	_________ _ ______
Linderstrem-Lang (Lang-Lindershtrem) Kai Ulrik	29	11	1896	25	5	1959	Biochemist	http://www.isaran.ru/?q=ru/persostav	______ ________ __________	02.02.1947		__________ _ _______ ____________ ______ _______________ __________
Luppol Ivan Kapitonovich	13	1	1896	26	5	1943	Philosopher, literary critic	http://www.isaran.ru/?q=ru/persostav	______ ______ __________	31.05.1899	08.08.1994	________
Dmitri Maksutov	23	4	1896	12	8	1964	Physicist, optometrist, an expert in astronomical instrumentation	http://www.isaran.ru/?q=ru/persostav	______ ______ _________	01.10.1931		__________ _ _______ __________ ____________ __________ ________ __________
Mintz Isaak	3	2	1896	5	4	1991	Historian	http://www.isaran.ru/?q=ru/persostav	______ ____ __________	15.11.1934		__________ _ _______ ________, ____________ _ _____________ _________ _ _____________ ___________
Oding Ivan Avgustovich	6	7	1896	7	5	1964	Specialist in the field of metal	http://www.isaran.ru/?q=ru/persostav	_________ ______ _____________	07.03.1903	30.03.1981	_____-________
Orlovsky Paul E.	16	10	1896	3	12	1974	Lawyer	http://www.isaran.ru/?q=ru/persostav	________ _________ ________	24.05.1927		__________ _ _______ ______ __________________, _________ _____________ ________________
Pistolkors Alexander	10	10	1896	23	3	1996	Specialist in the field of radio	http://www.isaran.ru/?q=ru/persostav	________ _______ _________	14.03.1917	14.04.1987	_________
Ryzhkov Vitaliy Leonidovich	30	6	1896	12	8	1977	Virologist, botanist	http://www.isaran.ru/?q=ru/persostav	________ _______ (__________ )	05.08.1906	08.02.1999	_________, __________ _ _______ _________-_______________ _______
Nikolay Semenov	15	4	1896	25	9	1986	Physicist and physical chemist	http://www.isaran.ru/?q=ru/persostav	________ ___ _________	10.05.1901	30.06.1974	_________
Terenin Alexander	6	5	1896	18	1	1967	Physical chemist, an expert in the field of photochemistry	http://www.isaran.ru/?q=ru/persostav	________ ________ ________	01.12.1934		__________ _ _______ ___________ _ __________ ________________ _________
Sergei Fedorov Philippovich	13	7	1896	6	1	1970	Geologist, a specialist in the oil business	http://www.isaran.ru/?q=ru/persostav	________ _____ __________	18.08.1822	24.03.1874	_______-_______, _______
Jushmanov Nikolay Vladimirovich	24	2	1896	2	4	1946	Linguist, orientalist Semitologist	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	10.09.1740	06.04.1802	__________________-_______ _ ______________
Betekhtin Anatoly G.	9	3	1897	20	4	1962	Geologist, mineralogist	http://www.isaran.ru/?q=ru/persostav	___ _____ _________	27.09.1923	15.09.2005	__________ _ _______ ___________ ______ _________
Patrick Maynard Stuart Blackett	18	11	1897	13	7	1974	Physicist	http://www.isaran.ru/?q=ru/persostav	_______ ______ (_____) ________	07.08.1770	23.07.1813	_______
Detlev Bronk Wolfe	13	8	1897	17	11	1975	Biologist, physiologist	http://www.isaran.ru/?q=ru/persostav	____ ____	14.01.1802	09.06.1878	_______-_______
Volsky Anton Nikolaevich	24	6	1897	7	1	1966	Expert in the field of metallurgy and chemical engineering	http://www.isaran.ru/?q=ru/persostav	_____ ____ _______ (____-___) (Le Roy Pierre-Louis)	15.10.1699	06.07.1774	_______
Ganovski Sava Tsolov (alias Trudin)	1	3	1897	24	4	1993	Philosopher, educator, social activist	http://www.isaran.ru/?q=ru/persostav	_____-_____ ____-____	09.12.1843	09.12.1916	_________
Gross Evgeni	20	10	1897	4	4	1972	Physicist	http://www.isaran.ru/?q=ru/persostav	______ ______	08.07.1840	20.09.1916	________
Eliseev Nikolai	19	12	1897	24	6	1966	Specialist in the study of crystal formations	http://www.isaran.ru/?q=ru/persostav	_______ _________-____ __	19.11.1805	07.12.1894	________
Irene Joliot-Curie	12	9	1897	17	3	1956	Physicist radiochemist	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	01.01.1837	28.02.1888	_________
Kobeko Pavel Pavlovich	11	6	1897	6	1	1954	Physicist and physical chemist	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	03.10.1934		__________ _ _______ ________, ________ _ __________ _________ ____________ ______ ____
